"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2023","67.14","64.60","67.85","59.99","37.28M","4.11%"
"02/01/2023","64.49","66.82","68.89","63.96","30.77M","-3.65%"
"01/01/2023","66.93","64.98","68.65","63.83","21.32M","3.49%"
"12/01/2022","64.67","66.48","68.40","64.02","25.63M","-2.53%"
"11/01/2022","66.35","59.79","68.54","57.35","49.54M","11.74%"
"10/01/2022","59.38","53.78","59.72","51.26","28.57M","11.66%"
"09/01/2022","53.18","58.57","61.79","53.15","29.89M","-9.86%"
"08/01/2022","59.00","53.27","61.08","53.27","33.36M","10.05%"
"07/01/2022","53.61","50.27","53.75","50.10","22.28M","6.90%"
"06/01/2022","50.15","52.77","52.87","46.68","33.28M","-4.49%"
"05/01/2022","52.51","56.93","58.40","49.35","38.93M","-8.02%"
"04/01/2022","57.09","58.84","61.79","57.04","21.93M","-2.23%"
"03/01/2022","58.39","55.67","59.13","54.01","35.61M","4.31%"
"02/01/2022","55.98","56.09","59.73","54.21","24.09M","0.02%"
"01/01/2022","55.97","59.92","60.84","53.47","27.61M","-7.76%"
"12/01/2021","60.68","56.33","61.02","54.18","31.67M","8.30%"
"11/01/2021","56.03","56.85","59.94","55.96","25.33M","-1.08%"
"10/01/2021","56.64","61.53","62.70","56.22","30.73M","-7.44%"
"09/01/2021","61.19","64.43","65.64","60.77","29.58M","-4.70%"
"08/01/2021","64.21","68.19","68.19","62.12","35.17M","-5.84%"
"07/01/2021","68.19","64.57","68.53","61.05","26.32M","5.82%"
"06/01/2021","64.44","70.00","70.74","63.78","28.06M","-7.57%"
"05/01/2021","69.72","69.22","71.12","66.35","21.45M","1.62%"
"04/01/2021","68.61","65.18","70.23","64.58","23.47M","5.55%"
"03/01/2021","65.00","60.70","68.48","60.37","45.05M","8.48%"
"02/01/2021","59.92","58.20","62.86","56.92","31.42M","3.85%"
"01/01/2021","57.70","61.90","64.65","56.56","33.16M","-5.58%"
"12/01/2020","61.11","57.30","63.14","56.23","30.57M","7.29%"
"11/01/2020","56.96","52.44","60.67","51.12","36.75M","9.54%"
"10/01/2020","52.00","57.83","60.57","51.16","36.41M","-9.58%"
"09/01/2020","57.51","54.14","58.50","53.44","43.04M","6.22%"
"08/01/2020","54.14","56.72","58.68","53.45","37.67M","-4.21%"
"07/01/2020","56.52","54.72","58.28","53.60","30.93M","3.46%"
"06/01/2020","54.63","54.73","60.93","52.17","59.10M","0.13%"
"05/01/2020","54.56","47.28","56.27","46.20","62.81M","10.67%"
"04/01/2020","49.30","38.13","52.16","33.00","109.23M","23.16%"
"03/01/2020","40.03","58.69","59.87","25.08","110.31M","-31.57%"
"02/01/2020","58.50","61.13","67.33","57.05","51.25M","-4.11%"
"01/01/2020","61.01","63.80","65.83","60.78","60.56M","-4.33%"
"12/01/2019","63.77","65.61","67.30","63.49","44.41M","-2.83%"
"11/01/2019","65.63","65.69","68.40","64.07","37.08M","0.29%"
"10/01/2019","65.44","71.32","72.20","64.03","42.25M","-8.01%"
"09/01/2019","71.14","78.64","79.36","69.58","60.42M","-9.32%"
"08/01/2019","78.45","73.81","79.46","72.51","58.76M","6.45%"
"07/01/2019","73.70","69.94","75.64","68.63","29.07M","5.98%"
"06/01/2019","69.54","65.70","70.50","64.63","32.99M","5.68%"
"05/01/2019","65.80","65.13","69.26","62.88","43.29M","0.86%"
"04/01/2019","65.24","65.32","67.93","63.70","38.31M","0.20%"
"03/01/2019","65.11","63.67","66.05","60.70","31.40M","3.01%"
"02/01/2019","63.21","62.82","65.59","61.71","34.34M","0.89%"
"01/01/2019","62.65","51.61","64.17","50.78","43.71M","19.79%"
"12/01/2018","52.30","59.33","59.33","50.20","28.62M","-10.34%"
"11/01/2018","58.33","54.95","58.92","52.06","29.07M","6.50%"
"10/01/2018","54.77","59.56","59.72","52.60","41.72M","-7.61%"
"09/01/2018","59.28","57.34","61.36","55.48","30.39M","3.28%"
"08/01/2018","57.40","62.02","64.53","57.05","38.30M","-9.08%"
"07/01/2018","63.13","59.83","65.17","59.53","29.07M","4.69%"
"06/01/2018","60.30","59.25","61.46","57.59","33.68M","2.17%"
"05/01/2018","59.02","54.21","59.73","53.55","37.13M","8.45%"
"04/01/2018","54.42","56.73","58.15","53.09","46.39M","-4.39%"
"03/01/2018","56.92","58.65","59.85","55.12","29.54M","-2.85%"
